@DM0,,Init Step,,
@DM1,,Gate Motor Init Step,,
@DM2,,Tray Pick Motor Init Step,,
@DM3,,Flip Motor Init Step,,
@DM4,,Pour Motor Init Step,,
@DM5,,Coarse Weigh Tray Reset Step,,
@DM6,,Fine Weigh Tray Reset Step,,
@DM7,,Z Axis Clamp Tray Proc Step,,
@DM8,,Init Jog Count_HMI,,
@DM9,,5s Counter,,
@MR0,,Stop,,
@MR5,,Init_HMI,,
@MR8,,Power-On Flag,,
@MR10,,Power-On Auto Init,,
@MR17,,Gate Motor Init Start,,
@MR18,,Tray Pick Motor Init Start,,
@MR19,,Flip Motor Init Start,,
@MR20,,Pour Motor Init Start,,
@MR27,,Gate Motor Init Done,,
@MR28,,Tray Pick Motor Init Done,,
@MR29,,Flip Motor Init Done,,
@MR30,,Pour Motor Init Done,,
@MR42,,Light Curtain Break Filter Delay,,
@MR48,,Tray Placed To Graphite,,
@MR50,,To Tray Pos Place To Tray,,
@MR51,,DelayDeprSigDet,,
@MR52,,Axis 1-3 Last Delay Homing,,
@MR57,,Graphite Tray Return Prep,,
@MR59,,Axis 1-3 Pos 1 Cleared,,
@MR63,,Depressurization Delay,,
